Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd RST Flags,Bwd RST Flags,ICMP Code,ICMP Type,Total TCP Flow Time
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.748330,15625.953674316406,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.8046994202014,312.51907348632807,2209.843561123196,15625.953674316406,0.0,15625.953674316406,318.8970137615592,2232.2790963309158,15625.953674316406,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3199.8046994202014,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15625.953674316406,0.0,15625.953674316406,15625.953674316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.953674316406
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.763956,15624.761581420898,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0488288700694,312.49523162841797,2209.6749737291525,15624.761581420898,0.0,15624.761581420898,318.8726853351204,2232.1087973458425,15624.761581420898,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3200.0488288700694,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15624.761581420898,0.0,15624.761581420898,15624.761581420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15624.761581420898
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.779581,-1.0,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,0.0,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.779581,24735.689163208008,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.3708083933338,494.71378326416016,2269.9580150601882,15738.725662231445,0.0,24735.689163208008,504.8099829226125,2292.3469762640934,15738.725662231445,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,2021.3708083933338,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,24735.689163208008,0.0,24735.689163208008,24735.689163208008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24735.689163208008
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.804317,7243.633270263672,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6902.613389506945,144.87266540527347,638.3722669559493,4243.135452270508,0.0,7243.633270263672,147.82925041354434,644.641728536304,4243.135452270508,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,6902.613389506945,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,7243.633270263672,0.0,7243.633270263672,7243.633270263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.633270263672
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.811560,15624.046325683594,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.1953244216566,312.4809265136719,2209.5738212927263,15624.046325683594,0.0,15624.046325683594,318.858088279257,2232.0066179547994,15624.046325683594,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3200.1953244216566,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15624.046325683594,0.0,15624.046325683594,15624.046325683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15624.046325683594
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.827184,15624.761581420898,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0488288700694,312.495231628418,2209.6749737291525,15624.761581420898,0.0,15624.761581420898,318.8726853351204,2232.108797345843,15624.761581420898,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3200.0488288700694,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15624.761581420898,0.0,15624.761581420898,15624.761581420898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15624.761581420898
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.842809,15626.907348632812,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.609422677896,312.5381469726563,2209.9784310384307,15626.907348632812,0.0,15626.907348632812,318.9164765027105,2232.4153355189733,15626.907348632812,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3199.609422677896,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,15626.907348632812,0.0,15626.907348632812,15626.907348632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15626.907348632812
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:23.858436,77026.1287689209,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.1303769140529,1540.5225753784182,8916.417333060903,61401.6056060791,0.0,77026.1287689209,1571.9618116106308,9006.017389026763,61401.6056060791,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,649.1303769140529,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,77026.1287689209,0.0,77026.1287689209,77026.1287689209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77026.1287689209
*-192.168.1.230-0-80-6,*,0,192.168.1.230,80,6,2025-12-17 23:49:24.060112,14000.177383422852,50,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571.3833211287274,280.00354766845703,809.4485200816871,5000.35285949707,0.0,14000.177383422852,285.71790578413976,816.8172021022522,5000.35285949707,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,2000,0,3571.3833211287274,0.0,0,0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,14000.177383422852,0.0,14000.177383422852,14000.177383422852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.177383422852
