Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd RST Flags,Bwd RST Flags,ICMP Code,ICMP Type,Total TCP Flow Time
185.125.190.17-192.168.1.29-0-50392-6,185.125.190.17,0,192.168.1.29,50392,6,2025-12-21 15:51:28.692399,624891.996383667,4,0,189,0,189,0,47.25,94.5,0.0,0.0,0.0,0.0,302.4522655015076,6.401106148180056,156222.99909591675,180293.23219205087,312922.47772216797,0.0,624891.996383667,208297.332127889,180244.43790873716,312922.47772216797,169.99244689941406,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,216,0,6.401106148180056,0.0,0,189,47.25,94.5,8930.25,1,1,0,1,4,0,0,0,0.0,47.25,47.25,0.0,0,0,0,0,0,0,4,189,0,0,0,0,1,189,624891.996383667,0.0,624891.996383667,624891.996383667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624891.996383667
192.168.1.29-91.189.91.97-0-80-6,192.168.1.29,0,91.189.91.97,80,6,2025-12-21 15:56:28.292449,935983.1809997559,7,0,88,0,88,0,12.571428571428573,33.26087362481199,0.0,0.0,0.0,0.0,94.01878344224538,7.478766864724064,133711.8829999651,166727.3694460811,312082.29064941406,0.0,935983.1809997559,155997.19683329263,170838.76340173173,312082.29064941406,29.087066650390625,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,372,0,7.478766864724064,0.0,0,88,12.571428571428573,33.26087362481199,1106.2857142857142,1,1,1,1,5,0,0,0,0.0,12.571428571428573,12.571428571428573,0.0,0,0,0,0,0,0,7,88,0,0,0,0,1,88,935983.1809997559,0.0,935983.1809997559,935983.1809997559,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,935983.1809997559
91.189.91.97-192.168.1.29-0-46574-6,91.189.91.97,0,192.168.1.29,46574,6,2025-12-21 15:56:28.604335,624065.1607513428,5,0,185,0,185,0,37.0,82.73451516749222,0.0,0.0,0.0,0.0,296.4434030851352,8.011983867165815,124813.03215026855,170799.22953596147,311929.46434020996,0.0,624065.1607513428,156016.2901878357,180015.40767124374,311929.46434020996,102.996826171875,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,268,0,8.011983867165815,0.0,0,185,37.0,82.73451516749222,6845.0,1,1,0,1,5,0,0,0,0.0,37.0,37.0,0.0,0,0,0,0,0,0,5,185,0,0,0,0,1,185,624065.1607513428,0.0,624065.1607513428,624065.1607513428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624065.1607513428
192.168.1.29-169.254.169.254-0-80-6,192.168.1.29,0,169.254.169.254,80,6,2025-12-21 15:57:48.892334,110759924.88861084,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13542804416927165,7383994.992574057,24987256.58377358,97655766.96395874,0.0,110759924.88861084,7911423.206329347,25843707.71926897,97655766.96395874,115.39459228515625,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,900,0,0.13542804416927165,0.0,0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22339311.32772217,49430286.77292954,110759924.88861084,115.25,10982329.3,30462984.566004336,97655767.0,1038930.75,0.0,0.0,0.0,0.0,110759924.88861084
192.168.1.29-185.125.190.49-0-80-6,192.168.1.29,0,185.125.190.49,80,6,2025-12-21 16:01:28.357393,935169.6968078613,7,0,88,0,88,0,12.571428571428573,33.26087362481199,0.0,0.0,0.0,0.0,94.10056837853286,7.485272484656023,133595.67097255163,166579.32063617604,312684.5359802246,0.0,935169.6968078613,155861.61613464355,170686.60357232825,312684.5359802246,22.172927856445312,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,372,0,7.485272484656023,0.0,0,88,12.571428571428573,33.26087362481199,1106.2857142857142,1,1,1,1,5,0,0,0,0.0,12.571428571428573,12.571428571428573,0.0,0,0,0,0,0,0,7,88,0,0,0,0,1,88,935169.6968078613,0.0,935169.6968078613,935169.6968078613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,935169.6968078613
185.125.190.49-192.168.1.29-0-53288-6,185.125.190.49,0,192.168.1.29,53288,6,2025-12-21 16:01:28.668429,624071.5980529785,5,0,189,0,189,0,37.8,84.52336954949205,0.0,0.0,0.0,0.0,302.8498662487689,8.011901223512405,124814.3196105957,170780.26185541035,312855.72052001953,0.0,624071.5980529785,156017.89951324463,179991.03994624308,312855.72052001953,106.8115234375,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,268,0,8.011901223512405,0.0,0,189,37.8,84.52336954949205,7144.2,1,1,0,1,5,0,0,0,0.0,37.8,37.8,0.0,0,0,0,0,0,0,5,189,0,0,0,0,1,189,624071.5980529785,0.0,624071.5980529785,624071.5980529785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624071.5980529785
192.168.1.29-185.125.190.18-0-80-6,192.168.1.29,0,185.125.190.18,80,6,2025-12-21 16:06:28.276340,937228.6796569824,7,0,88,0,88,0,12.571428571428573,33.26087362481199,0.0,0.0,0.0,0.0,93.89384032956315,7.4688282080334325,133889.8113795689,177527.32321961774,417236.8049621582,0.0,937228.6796569824,156204.7799428304,183402.00348633228,417236.8049621582,49.591064453125,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,372,0,7.4688282080334325,0.0,0,88,12.571428571428573,33.26087362481199,1106.2857142857142,1,1,1,1,5,0,0,0,0.0,12.571428571428573,12.571428571428573,0.0,0,0,0,0,0,0,7,88,0,0,0,0,1,88,937228.6796569824,0.0,937228.6796569824,937228.6796569824,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,937228.6796569824
185.125.190.18-192.168.1.29-0-54558-6,185.125.190.18,0,192.168.1.29,54558,6,2025-12-21 16:06:28.693410,520096.5404510498,5,0,189,0,189,0,37.8,84.52336954949205,0.0,0.0,0.0,0.0,363.39407263907424,9.613599805266514,104019.30809020996,146947.96077750012,311781.644821167,0.0,520096.5404510498,130024.13511276245,155830.8828369239,311781.644821167,122.54714965820312,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,268,0,9.613599805266514,0.0,0,189,37.8,84.52336954949205,7144.2,1,1,0,1,5,0,0,0,0.0,37.8,37.8,0.0,0,0,0,0,0,0,5,189,0,0,0,0,1,189,520096.5404510498,0.0,520096.5404510498,520096.5404510498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520096.5404510498
192.168.1.29-169.254.169.254-0-80-6,192.168.1.29,0,169.254.169.254,80,6,2025-12-21 16:07:50.852488,2079931.7359924316,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.442355029295498,693310.5786641439,600424.6077949236,1040167.8085327148,0.0,2079931.7359924316,1039965.8679962158,285.587045509818,1040167.8085327148,1039763.9274597168,-1.0,-1.0,0.0,-1.0,-1.0,0,0,0,0,180,0,1.442355029295498,0.0,0,0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2079931.7359924316,0.0,2079931.7359924316,2079931.7359924316,1039965.875,285.49436290406857,1040167.75,1039764.0,0.0,0.0,0.0,0.0,2079931.7359924316
192.168.1.29-91.189.91.97-0-80-6,192.168.1.29,0,91.189.91.97,80,6,2025-12-21 16:11:28.317462,830895.4238891602,7,0,88,0,88,0,12.571428571428573,33.26087362481199,0.0,0.0,0.0,0.0,105.90983831406807,8.424646229528141,118699.34626988001,152061.06537548575,312991.1422729492,0.0,830895.4238891602,138482.57064819336,156395.40595110424,312991.1422729492,44.10743713378906,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,372,0,8.424646229528141,0.0,0,88,12.571428571428573,33.26087362481199,1106.2857142857142,1,1,1,1,5,0,0,0,0.0,12.571428571428573,12.571428571428573,0.0,0,0,0,0,0,0,7,88,0,0,0,0,1,88,830895.4238891602,0.0,830895.4238891602,830895.4238891602,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,830895.4238891602
91.189.91.97-192.168.1.29-0-36592-6,91.189.91.97,0,192.168.1.29,36592,6,2025-12-21 16:11:28.524288,624047.5177764893,5,0,185,0,185,0,37.0,82.73451516749222,0.0,0.0,0.0,0.0,296.45178408715367,8.012210380733883,124809.50355529785,170779.79969330187,313036.9186401367,0.0,624047.5177764893,156011.8794441223,179991.8467699647,313036.9186401367,69.61822509765625,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,268,0,8.012210380733883,0.0,0,185,37.0,82.73451516749222,6845.0,1,1,0,1,5,0,0,0,0.0,37.0,37.0,0.0,0,0,0,0,0,0,5,185,0,0,0,0,1,185,624047.5177764893,0.0,624047.5177764893,624047.5177764893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624047.5177764893
192.168.1.29-43.175.227.98-0-80-6,192.168.1.29,0,43.175.227.98,80,6,2025-12-21 16:11:59.413317,30263508.558273315,10,0,160,0,160,0,16.0,50.596442562694065,0.0,0.0,0.0,0.0,5.286895261728001,0.3304309538580001,3026350.855827331,9461364.728795672,29952430.963516235,0.0,30263508.558273315,3362612.0620303685,9971712.233174577,29952430.963516235,6.9141387939453125,-1.0,-1.0,0.0,-1.0,-1.0,1,0,0,0,480,0,0.3304309538580001,0.0,0,160,16.0,50.596442562694065,2559.9999999999995,0,1,0,1,9,0,0,0,0.0,16.0,16.0,0.0,0,0,0,0,0,0,5,80,0,0,0,0,1,160,15287293.029136658,21179567.114327617,30263508.558273315,311077.5,29952431.0,0.0,29952431.0,29952431.0,0.0,0.0,0.0,0.0,30263508.558273315
43.175.227.98-192.168.1.29-0-55662-6,43.175.227.98,0,192.168.1.29,55662,6,2025-12-21 16:11:59.413368,30263289.213180542,9,0,547,0,542,0,60.77777777777778,180.45898272029697,0.0,0.0,0.0,0.0,18.074704178611412,0.2973900139076832,3362587.6903533936,9971392.666726243,29952273.845672607,0.0,30263289.213180542,3782911.1516475677,10574288.245146502,29952273.845672607,10.49041748046875,-1.0,-1.0,0.0,-1.0,-1.0,6,0,0,0,372,0,0.2973900139076832,0.0,0,542,60.77777777777778,180.45898272029697,32565.444444444445,1,1,0,6,9,0,0,0,0.0,60.77777777777778,60.77777777777778,0.0,547,6,3562553,0,0,0,4,273,0,0,0,0,6,1,15287152.356590271,21179455.854545534,30263289.213180542,311015.5,29952273.75,0.0,29952273.75,29952273.75,0.0,0.0,0.0,0.0,30263289.213180542
